id,firstname,lastname,age,zodiac,birthday,phone,email,country,city,country_code,state
d0a83bad-20c6-488a-8e31-410682320b43,Clarence,Witting,0,Gemini,2023-12-17,(681) 496-1933,Clarence39@hotmail.com,Saint Pierre and Miquelon,Virgilhaven,BQ,South Dakota
0474602c-b234-4d2c-aea7-f8e528108b0e,Elena,Collier,0,Taurus,2023-12-27,(423) 924-5736,Elena42@gmail.com,United States of America,North Aisha,SR,California
572f0024-62ab-4769-915e-4de6b547d754,Hilda,Christiansen,0,Scorpio,2023-09-10,(229) 442-2334,Hilda.Christiansen67@gmail.com,North Macedonia,Lake Jamalfort,IT,Colorado
4bf62c8a-7e0b-499e-8bf4-857dd018a370,Kristie,Ullrich,0,Aquarius,2023-05-14,(287) 017-1227,Kristie74@yahoo.com,Equatorial Guinea,Huelsworth,GY,Vermont
681d9da4-fed0-4d2f-aa91-10cdcb7dcce8,Gloria,Williamson,0,Capricorn,2023-07-17,(351) 274-8662,Gloria.Williamson@yahoo.com,South Sudan,Bozeman,CY,Missouri
243292b8-110c-477b-b572-a3fae1d607d4,Mike,Fay,0,Sagittarius,2023-06-01,(806) 272-4921,Mike95@hotmail.com,Guinea,Jadonton,SM,Missouri
97b01da0-2dba-4922-8769-974c09a31c35,Antonio,Bashirian,0,Sagittarius,2023-09-28,(554) 492-2002,Antonio.Bashirian38@gmail.com,Micronesia,Lake Vallie,SN,Colorado
e3043259-dc35-4987-ac20-a32ff4f5e07a,Wendy,Howell,1,Leo,2022-10-23,(316) 447-3992,Wendy7@gmail.com,Faroe Islands,Texas City,MK,Iowa
094be634-14b3-4caa-8b53-036cb0a9b6c5,Darlene,Cassin,1,Aries,2022-09-14,(246) 147-7464,Darlene.Cassin79@hotmail.com,India,Woodland,BG,Arkansas
28bac730-74ce-4168-a351-2f00d68da648,Jasmine,Gleichner,1,Aries,2023-01-16,(069) 938-0257,Jasmine_Gleichner72@gmail.com,Cyprus,Gerdaberg,SG,Indiana
372a4135-bdf0-4715-a746-a2fb2bdfb6d5,Mathew,Bahringer,1,Virgo,2022-11-14,(262) 438-1308,Mathew_Bahringer92@hotmail.com,Austria,Virgilbury,TK,Ohio
14d5251c-46b1-4312-8e1f-a5167dc55a96,Roy,Wiza,1,Cancer,2022-05-21,(276) 159-2523,Roy27@hotmail.com,Republic of Korea,Tempe,MU,Kansas
ba82eeea-606f-4875-bdcc-08168579a878,Dixie,Wilderman,1,Cancer,2023-01-27,(671) 673-7404,Dixie_Wilderman@hotmail.com,Cayman Islands,East Heather,MM,Oregon
5f1608df-e541-47d2-b52d-d3c055ece627,Loren,Leannon,1,Pisces,2022-08-04,(134) 077-8322,Loren.Leannon59@gmail.com,Reunion,West Garettcester,GY,Nebraska
03dce349-cfab-4983-a18a-feb2164c8f12,Kristine,Schiller-Hermiston,1,Taurus,2023-02-12,(361) 754-3967,Kristine_Schiller-Hermiston71@yahoo.com,Ethiopia,North Lavadatown,IQ,Idaho
ed660354-cabb-4abe-96f3-fd68002c8ef0,Brandi,Bayer,1,Scorpio,2023-03-20,(815) 715-6995,Brandi81@gmail.com,India,Grahamstead,HR,Kansas
afa4b985-07f2-4de0-8007-4f98e83585f3,Billy,Connelly,1,Scorpio,2023-01-15,(220) 396-9418,Billy_Connelly67@hotmail.com,Lao People's Democratic Republic,Weberstead,TZ,New Jersey
5ec8dac7-660f-45e0-9ccc-af0017a11ad7,Sonya,Torphy,1,Aquarius,2023-03-07,(240) 345-5697,Sonya75@gmail.com,Chad,Gusikowskicester,CY,Montana
efa8a4ab-682f-4f45-b406-cb6a4989bd5a,Lynn,Considine,1,Capricorn,2023-01-31,(137) 946-9871,Lynn_Considine33@yahoo.com,Mongolia,Long Beach,MN,Minnesota
ce681a02-616f-4234-a225-965e69059ec8,Jon,McClure,2,Aries,2021-09-23,(607) 747-4393,Jon.McClure@hotmail.com,Haiti,Hirthefield,MW,Connecticut
3338688c-5d4f-479e-9a15-003e508a1b68,Bryan,Mayert,2,Aries,2021-11-17,(832) 256-6958,Bryan.Mayert@hotmail.com,Georgia,Novaview,VU,Minnesota
23c8501e-ded6-4f93-b94c-305d536dbd06,Charlotte,Turner,2,Gemini,2022-04-17,(308) 907-8057,Charlotte7@hotmail.com,Namibia,New York,EC,Oklahoma
c6405c16-d731-4f3b-892f-aa528b3384ef,Michele,Hayes,2,Pisces,2022-01-18,(608) 939-5471,Michele19@hotmail.com,Falkland Islands (Malvinas),Rossieberg,AW,Kansas
99cbb3fb-4119-477b-99c3-7cc94d1ffa29,Kirk,Gutmann,2,Pisces,2022-01-27,(154) 887-5174,Kirk_Gutmann88@gmail.com,Bosnia and Herzegovina,Dothan,KR,South Carolina
915354b1-89c2-40e2-b4b1-1857e21c51ac,Carroll,Borer,2,Pisces,2021-07-17,(044) 156-0645,Carroll10@hotmail.com,Australia,South Danielle,SK,Michigan
2f7f9f4a-5afa-4a78-abc3-b3d10108eb59,Doris,Jast,2,Taurus,2021-04-29,(749) 341-5928,Doris68@yahoo.com,Central African Republic,New Darrylfurt,ZA,Florida
82cdeaf4-b83d-4f8b-95f5-a1107963eaec,Juanita,Huels,2,Taurus,2021-11-27,(689) 532-5658,Juanita.Huels67@yahoo.com,Burundi,Fullerton,TL,Vermont
b6d0cb35-ef54-461d-8c06-6d4ff94ed206,Santiago,Heaney,2,Taurus,2021-11-24,(198) 726-7230,Santiago_Heaney56@gmail.com,United Kingdom,Broderickfield,BF,West Virginia
31aa2e41-4b87-404a-8548-7e494794c264,Natasha,Schultz,2,Aquarius,2021-09-21,(685) 710-7286,Natasha.Schultz58@gmail.com,Slovenia,Port Karliboro,DE,Idaho
a7547a89-d2b1-46de-87ab-83d71917f35e,Jeffrey,Grimes,2,Aquarius,2021-08-21,(068) 546-7459,Jeffrey_Grimes@yahoo.com,Pakistan,Paulastead,TF,Iowa
a059a3e9-925a-4ea8-8374-686efc050a18,Byron,Schuppe-Koch,2,Aquarius,2021-12-27,(347) 302-6370,Byron.Schuppe-Koch@hotmail.com,Equatorial Guinea,North Audreychester,BA,Kentucky
411539b2-1071-4381-b629-8577cec7caf0,Rochelle,Keebler,2,Capricorn,2022-04-02,(813) 741-2519,Rochelle_Keebler@hotmail.com,Turkey,Homenickberg,CC,Louisiana
e82c9ee6-bde5-4fcf-9d1a-f0b938ea5087,Paula,Waters,3,Virgo,2020-06-25,(570) 288-6877,Paula.Waters52@gmail.com,United States Minor Outlying Islands,North Drakechester,PR,Wisconsin
